skill_id,strand,unit,name_en,name_zh,form,foundation,prerequisites,guide_ref
dh.prob2.multiplication-law,dh,More about probability,Multiplication law for independent events,獨立事件的乘法定律,F5,N,dh.prob2.set-notation,CP-16.3
dh.prob2.independent-test,dh,More about probability,Test whether two events are independent,判斷事件是否獨立,F5,N,dh.prob2.multiplication-law,CP-16.3
dh.prob2.conditional,dh,More about probability,Conditional probability P(A | B),條件機率,F5,N,dh.prob2.multiplication-law,CP-16.4
dh.prob2.tree-with-without-replacement,dh,More about probability,Tree diagrams with / without replacement,放回及不放回的樹形圖,F5,N,dh.prob2.multiplication-law,CP-16.3;CP-16.4
dh.prob2.at-least-one,dh,More about probability,At-least-one events via the complement,以互補事件處理「至少一個」,F5,N,dh.prob2.complementary;dh.prob2.multiplication-law,CP-16.2;CP-16.3
dh.prob2.with-counting,dh,More about probability,Probability using permutations and combinations,以排列組合計算機率,F5,N,dh.perm.combination;dh.prob.definition,CP-16.5
dh.prob2.turns-until,dh,More about probability,Probability of a player winning in a turn-taking game that continues until a result,輪流進行直至出現結果的機率(無限等比),F5,N,dh.prob2.multiplication-law;na.seq.gs-sum-infinity,CP-16.3
dh.prob2.without-replacement-sequence,dh,More about probability,Probability that a result first appears on or after a given draw without replacement,不放回抽取中結果首次在第 n 次出現的機率,F5,N,dh.prob2.tree-with-without-replacement,CP-16.4
dh.disp.range,dh,Measures of dispersion,Range,分佈域,F5,F,,CP-17.2
dh.disp.quartiles,dh,Measures of dispersion,Quartiles and inter-quartile range (ungrouped and from a cumulative curve),四分位數及四分位數間距,F5,F,dh.central.median;dh.present.cumulative,CP-17.2
dh.disp.box-plot,dh,Measures of dispersion,Construct and read a box-and-whisker diagram,箱線圖,F5,F,dh.disp.quartiles,CP-17.3
dh.disp.sd-ungrouped,dh,Measures of dispersion,Standard deviation of ungrouped data (formula / calculator),未分組數據的標準差,F5,F,dh.central.mean,CP-17.4
dh.disp.variance,dh,Measures of dispersion,Variance and its relation to the standard deviation,方差及其與標準差的關係,F5,F,dh.disp.sd-ungrouped,CP-17.4
dh.disp.sd-grouped,dh,Measures of dispersion,Standard deviation of grouped data,分組數據的標準差,F5,F,dh.disp.sd-ungrouped;dh.central.grouped-mean,CP-17.4
dh.disp.compare,dh,Measures of dispersion,Compare dispersions of two data sets and choose a measure,比較兩組數據的離差,F5,F,dh.disp.quartiles;dh.disp.sd-ungrouped,CP-17.1;CP-17.5
dh.disp.effect-change,dh,Measures of dispersion,Effect on range / IQR / SD of adding a constant / multiplying / adding a datum,數據改變對離差的影響,F5,N,dh.disp.compare,CP-17.7
dh.disp.standard-score,dh,Measures of dispersion,Standard score z = (x − μ)/σ,標準分,F5,N,dh.disp.sd-ungrouped,CP-17.6
dh.disp.normal-basic,dh,Measures of dispersion,Normal distribution: symmetry and the 68 / 95 / 99.7 rule,正態分佈及 68/95/99.7 法則,F5,N,dh.disp.standard-score,CP-17.6
dh.disp.normal-apply,dh,Measures of dispersion,Apply the normal distribution to find proportions / values,以正態分佈求比例或數值,F5,N,dh.disp.normal-basic,CP-17.6
dh.stat.sampling,dh,Uses and abuses of statistics,Sampling methods and bias in data collection,抽樣方法及數據收集的偏差,F6,F,dh.collect.methods,CP-18.1
dh.stat.misuse-central,dh,Uses and abuses of statistics,Misuse of averages (mean vs median vs mode),集中趨勢量度的誤用,F6,F,dh.central.compare,CP-18.2;KS3-30.4
dh.stat.misuse-dispersion,dh,Uses and abuses of statistics,Misuse of dispersion and of standard scores,離差及標準分的誤用,F6,F,dh.disp.compare,CP-18.2
dh.stat.misleading-graph,dh,Uses and abuses of statistics,Misleading graphs: truncated axes / area distortion / scale,誤導性統計圖,F6,F,dh.present.misleading,CP-18.2;KS3-29.7
dh.stat.critique,dh,Uses and abuses of statistics,Critique a statistical claim or survey,評論統計結論或調查,F6,F,dh.stat.sampling;dh.stat.misuse-central,CP-18.3
# --- Further Learning Unit --------------------------------------------------------
fl.apply.multi-topic,fl,Further applications,Solve a problem that combines two or more units (e.g. trig + circle + coordinates),跨課題綜合應用題,F6,F,ms.trig.choose-rule;ms.line.circle-general,CP-19
fl.apply.model,fl,Further applications,Build a mathematical model from a real situation and interpret the result,建立數學模型並詮釋結果,F6,F,na.var.word;na.func.optimise-word,CP-19
fl.inquiry.investigate,fl,Inquiry and investigation,Investigate a pattern and form a conjecture,探究規律並提出猜想,F6,F,na.algexp.sequence-term,CP-20;KS3-32;M1-21;M2-18
fl.inquiry.justify,fl,Inquiry and investigation,Justify or refute a conjecture (counter-example / proof),證明或反駁猜想,F6,F,fl.inquiry.investigate;ms.deduct.proof-writing,CP-20;KS3-32;M1-21;M2-18
#
# ===================== EXTENDED PART MODULE 1 (Calculus and Statistics) =========
# strand m1. Taught in F4-F6 alongside the Compulsory Part; the Foundation /
# Non-Foundation split is a Compulsory Part idea only, so foundation stays blank.
# --- Foundation knowledge ---------------------------------------------------------
m1.binomial.expand,m1,Binomial expansion,Expand (a + b)ⁿ for a positive integer n,展開 (a+b)ⁿ,F4,,na.identity.expand,M1-1.1
m1.binomial.term,m1,Binomial expansion,Find a particular term or coefficient in an expansion,求展開式中的指定項或係數,F4,,m1.binomial.expand,M1-1.1
m1.binomial.two-expansions,m1,Binomial expansion,Find a coefficient in a product of two expansions,求兩個展開式之積的係數,F4,,m1.binomial.term,M1-1.1
m1.binomial.approximate,m1,Binomial expansion,Use an expansion to approximate a numerical value,以展開式作近似計算,F4,,m1.binomial.term,ext
m1.explog.natural,m1,Exponential and logarithmic functions,Use e and the natural logarithm ln,自然指數 e 與自然對數 ln,F4,,na.log.laws,M1-2.1;M1-2.2
m1.explog.convert,m1,Exponential and logarithmic functions,Convert between exponential and logarithmic form,指數式與對數式互換,F4,,m1.explog.natural,M1-2.2
m1.explog.linear-form,m1,Exponential and logarithmic functions,Transform y = kaˣ or y = kxⁿ into a linear relation,把 y=kaˣ 或 y=kxⁿ 化成線性關係,F4,,na.log.linear-relation,M1-2.4
m1.explog.fit-line,m1,Exponential and logarithmic functions,Find k and a (or n) from the slope and intercept of the transformed line,由斜率與截距求 k 及 a(或 n),F4,,m1.explog.linear-form,M1-2.4
m1.explog.application,m1,Exponential and logarithmic functions,Model growth or decay with an exponential function,以指數函數模擬增長或衰減,F4,,m1.explog.convert,M1-2.3
# --- Differentiation -------------------------------------------------------------
m1.limit.concept,m1,Derivative of a function,Idea of the limit of a function,函數極限的概念,F5,,,M1-3.1
m1.limit.evaluate,m1,Derivative of a function,Evaluate the limit of an algebraic function,求代數函數的極限,F5,,m1.limit.concept,M1-3.2
m1.diff.first-principles,m1,Derivative of a function,Differentiate from first principles,由基本原理求導數,F5,,m1.limit.evaluate,M1-3.3
m1.diff.power-rule,m1,Differentiation of a function,Differentiate xⁿ and a constant,冪函數與常數的導數,F5,,m1.diff.first-principles,M1-4.2
m1.diff.sum-multiple,m1,Differentiation of a function,Differentiate a sum and a constant multiple,和與常數倍的導數,F5,,m1.diff.power-rule,M1-4.1
m1.diff.product-rule,m1,Differentiation of a function,Product rule,乘積法則,F5,,m1.diff.sum-multiple,M1-4.1
m1.diff.quotient-rule,m1,Differentiation of a function,Quotient rule,商法則,F5,,m1.diff.sum-multiple,M1-4.1
m1.diff.chain-rule,m1,Differentiation of a function,Chain rule,鏈式法則,F5,,m1.diff.sum-multiple,M1-4.1
m1.diff.exponential,m1,Differentiation of a function,Differentiate eˣ and aˣ,指數函數的導數,F5,,m1.diff.chain-rule;m1.explog.natural,M1-4.2
m1.diff.logarithmic,m1,Differentiation of a function,Differentiate ln x and logₐ x,對數函數的導數,F5,,m1.diff.chain-rule;m1.explog.natural,M1-4.2
m1.diff.combined,m1,Differentiation of a function,Differentiate a function needing two or more rules,需用多條法則的求導,F5,,m1.diff.product-rule;m1.diff.quotient-rule;m1.diff.chain-rule,M1-4.1;M1-4.2
m1.diff.second,m1,Second derivative,Find the second derivative,求二階導數,F5,,m1.diff.combined,M1-5.1;M1-5.2
m1.diff.implicit-simple,m1,Differentiation,Differentiate an implicitly defined relation,隱函數求導,F5,,m1.diff.chain-rule,ext
m1.apply.tangent,m1,Applications of differentiation,Equation of a tangent to a curve,曲線的切線方程,F5,,m1.diff.combined;ms.line.forms,M1-6.1;M1-3.4
m1.apply.rate-of-change,m1,Applications of differentiation,Rate of change of a quantity,變率,F5,,m1.diff.combined,M1-6.1
m1.apply.related-rates,m1,Applications of differentiation,Related rates of change,相關變率,F5,,m1.apply.rate-of-change;m1.diff.chain-rule,M1-6.1
m1.apply.monotonicity,m1,Applications of differentiation,Increasing and decreasing intervals from the first derivative,由一階導數判斷單調區間,F5,,m1.diff.combined,M1-6.1
m1.apply.stationary,m1,Applications of differentiation,Find stationary points,求駐點,F5,,m1.apply.monotonicity,M1-6.1
m1.apply.first-derivative-test,m1,Applications of differentiation,Classify a stationary point by the first derivative test,一階導數判別法,F5,,m1.apply.stationary,M1-6.1
m1.apply.second-derivative-test,m1,Applications of differentiation,Classify a stationary point by the second derivative test,二階導數判別法,F5,,m1.apply.stationary;m1.diff.second,M1-6.1;M1-5.2
m1.apply.global-extremum,m1,Applications of differentiation,Global maximum or minimum on a closed interval,閉區間上的最大最小值,F5,,m1.apply.first-derivative-test,M1-6.1
m1.apply.optimisation,m1,Applications of differentiation,Optimise a quantity in a real-life problem,最優化應用題,F5,,m1.apply.global-extremum,M1-6.1
m1.apply.curve-sketch,m1,Applications of differentiation,Sketch a curve from its derivatives,由導數描繪曲線,F5,,m1.apply.monotonicity;m1.apply.second-derivative-test,ext
m1.apply.marginal,m1,Applications of differentiation,Marginal cost / revenue / profit,邊際成本、收益、利潤,F5,,m1.apply.rate-of-change,M1-6.1
# --- Integration ------------------------------------------------------------------
m1.int.indefinite-power,m1,Indefinite integration and its applications,Integrate a power function and a constant,冪函數與常數的不定積分,F6,,m1.diff.power-rule,M1-7.2;M1-7.3;M1-7.1
m1.int.exponential,m1,Indefinite integration and its applications,Integrate eˣ and 1/x,指數與 1/x 的積分,F6,,m1.int.indefinite-power;m1.diff.exponential,M1-7.3
m1.int.sum-multiple,m1,Indefinite integration and its applications,Integrate a sum and a constant multiple,和與常數倍的積分,F6,,m1.int.indefinite-power,M1-7.2
m1.int.substitution,m1,Indefinite integration and its applications,Integrate by substitution,換元積分法,F6,,m1.int.sum-multiple;m1.diff.chain-rule,M1-7.4
m1.int.constant,m1,Indefinite integration and its applications,Find the constant of integration from a given condition,由條件求積分常數,F6,,m1.int.sum-multiple,M1-7.2;M1-7.5
m1.int.from-rate,m1,Indefinite integration and its applications,Recover a quantity from its rate of change,由變率還原原函數,F6,,m1.int.constant;m1.apply.rate-of-change,M1-7.5
m1.def.evaluate,m1,Definite integration and its applications,Evaluate a definite integral,計算定積分,F6,,m1.int.sum-multiple,M1-8.2;M1-8.3;M1-8.1
m1.def.substitution,m1,Definite integration and its applications,Evaluate a definite integral by substitution with changed limits,換元後更改積分上下限,F6,,m1.def.evaluate;m1.int.substitution,M1-8.4
m1.def.properties,m1,Definite integration and its applications,Use the properties of definite integrals,定積分的性質,F6,,m1.def.evaluate,M1-8.2
m1.def.area-curve,m1,Definite integration and its applications,Area between a curve and an axis,曲線與坐標軸間的面積,F6,,m1.def.evaluate,M1-8.5
m1.def.area-between,m1,Definite integration,Area between two curves,兩曲線間的面積,F6,,m1.def.area-curve,ext
m1.def.negative-area,m1,Definite integration and its applications,Handle a region below the axis,處理軸下方的區域,F6,,m1.def.area-curve,M1-8.5
m1.def.trapezoidal,m1,Approximation of definite integrals using the trapezoidal rule,Approximate a definite integral by the trapezoidal rule,梯形法則近似定積分,F6,,m1.def.evaluate,M1-9.1
m1.def.trapezoidal-error,m1,Approximation of definite integrals using the trapezoidal rule,Decide whether the trapezoidal estimate is too high or too low,判斷梯形法則的高估或低估,F6,,m1.def.trapezoidal;m1.apply.curve-sketch,M1-9.1
m1.def.application,m1,Definite integration and its applications,Total change from a rate in a real-life problem,由變率求總變化的應用題,F6,,m1.def.evaluate;m1.int.from-rate,M1-8.6
# --- Probability and distributions -------------------------------------------------
m1.prob.bayes,m1,Conditional probability and Bayes’ theorem,Bayes' theorem,貝葉斯定理,F5,,dh.prob2.conditional,M1-10.1;M1-10.2
m1.prob.independence,m1,Conditional probability and Bayes’ theorem,Use independence in a multi-stage problem,多階段問題中的獨立性,F5,,dh.prob2.multiplication-law,M1-10.1
m1.rv.distribution,m1,Discrete random variables,Write the probability distribution of a discrete random variable,離散隨機變量的機率分佈,F5,,dh.prob.definition,M1-11.1;M1-12.1
m1.rv.expectation,m1,"Probability distribution, expectation and variance",Expectation E(X),期望值 E(X),F5,,m1.rv.distribution,M1-12.2
m1.rv.variance,m1,"Probability distribution, expectation and variance",Variance and standard deviation of a random variable,隨機變量的方差與標準差,F5,,m1.rv.expectation,M1-12.2
m1.rv.linear,m1,"Probability distribution, expectation and variance",E(aX + b) and Var(aX + b),線性變換後的期望與方差,F5,,m1.rv.variance,M1-12.2
m1.binom.recognise,m1,The binomial distribution,Recognise a binomial experiment and state n and p,辨認二項分佈並寫出 n 及 p,F5,,dh.prob2.multiplication-law,M1-13.1
m1.binom.probability,m1,The binomial distribution,Compute P(X = r),計算 P(X=r),F5,,m1.binom.recognise;m1.binomial.term,M1-13.2
m1.binom.cumulative,m1,The binomial distribution,"Compute P(X ≤ r) and ""at least"" probabilities",累積機率及「至少」,F5,,m1.binom.probability,M1-13.2
m1.binom.mean-variance,m1,The binomial distribution,Mean np and variance npq,平均值 np 與方差 npq,F5,,m1.binom.recognise,M1-13.1
m1.binom.find-parameter,m1,Applications of the binomial and the Poisson distributions,Find n or p from a given probability or mean,由機率或平均值求 n 或 p,F5,,m1.binom.mean-variance,M1-15.1
m1.geo.probability,m1,Geometric distribution,P(X = r) for a geometric distribution,幾何分佈的 P(X=r),F5,,m1.binom.recognise,ext
m1.geo.cumulative,m1,Geometric distribution,P(X > r) and P(X ≤ r) for a geometric distribution,幾何分佈的累積機率,F5,,m1.geo.probability,ext
m1.geo.mean,m1,Geometric distribution,Mean 1/p of a geometric distribution,幾何分佈的平均值,F5,,m1.geo.probability,ext
m1.poisson.probability,m1,The Poisson distribution,Compute a Poisson probability,泊松分佈的機率,F6,,m1.rv.distribution,M1-14.2
m1.poisson.mean-variance,m1,The Poisson distribution,Mean and variance both equal λ,平均值與方差皆為 λ,F6,,m1.poisson.probability,M1-14.1
m1.poisson.interval,m1,Applications of the binomial and the Poisson distributions,Rescale λ for a different interval,按區間調整 λ,F6,,m1.poisson.probability,M1-15.1
m1.poisson.sum,m1,Applications of the binomial and the Poisson distributions,Sum of independent Poisson variables,獨立泊松變量之和,F6,,m1.poisson.interval,M1-15.1
m1.poisson.choose,m1,Applications of the binomial and the Poisson distributions,Decide between a binomial and a Poisson model,判別二項或泊松模型,F6,,m1.poisson.mean-variance;m1.binom.recognise,M1-15.1
m1.normal.properties,m1,Basic definition and properties of the normal distribution,Symmetry and shape of the normal curve,正態曲線的對稱與形狀,F6,,dh.disp.normal-basic,M1-16.1;M1-16.2
m1.normal.standardise,m1,Standardisation of a normal variable and use of the standard normal table,Standardise with z = (x − μ)/σ,標準化,F6,,dh.disp.standard-score,M1-17.1
m1.normal.probability,m1,Standardisation of a normal variable and use of the standard normal table,Find a probability from the standard normal table,由標準正態表求機率,F6,,m1.normal.standardise,M1-17.1;M1-18.1
m1.normal.inverse,m1,Applications of the normal distribution,Find the value of x from a given probability,由機率反求 x,F6,,m1.normal.probability,M1-18.2
m1.normal.parameter,m1,Applications of the normal distribution,Find μ or σ from given probabilities,由機率求 μ 或 σ,F6,,m1.normal.inverse;na.simeq.choose-method,M1-18.2
m1.normal.application,m1,Applications of the normal distribution,Apply the normal distribution to a real problem,正態分佈應用題,F6,,m1.normal.probability,M1-18.3
# --- Sampling and estimation --------------------------------------------------------
m1.sample.concepts,m1,Sampling distribution and point estimates,Population and sample and sampling distribution,母體、樣本與抽樣分佈,F6,,dh.stat.sampling,M1-19.1;M1-19.2
m1.sample.mean-distribution,m1,Sampling distribution and point estimates,Distribution of the sample mean: mean and standard error,樣本平均值的分佈與標準誤,F6,,m1.sample.concepts;m1.rv.linear,M1-19.2
m1.sample.central-limit,m1,Sampling distribution and point estimates,Central limit theorem,中央極限定理,F6,,m1.sample.mean-distribution;m1.normal.properties,M1-19.3
m1.estimate.point,m1,Sampling distribution and point estimates,Point estimates of a population mean and variance,母體平均值與方差的點估計,F6,,m1.sample.concepts,M1-19.4
m1.estimate.unbiased,m1,Sampling distribution and point estimates,Unbiased estimator: why n − 1,無偏估計:為何除以 n−1,F6,,m1.estimate.point,M1-19.4
m1.ci.mean-known,m1,Confidence interval for a population mean,Confidence interval for a mean with σ known,σ 已知時平均值的置信區間,F6,,m1.sample.mean-distribution;m1.normal.inverse,M1-20.1;M1-20.2
m1.ci.mean-unknown,m1,Confidence interval for a population mean,Confidence interval for a mean with σ estimated from a large sample,大樣本以 s 估計 σ 的置信區間,F6,,m1.ci.mean-known;m1.estimate.unbiased,M1-20.2
m1.ci.proportion,m1,Point and interval estimation,Confidence interval for a proportion,比例的置信區間,F6,,m1.ci.mean-known,ext
m1.ci.width,m1,Confidence interval for a population mean,Effect of sample size and confidence level on the width,樣本量與置信水平對區間寬度的影響,F6,,m1.ci.mean-known,M1-20.2
m1.ci.interpret,m1,Confidence interval for a population mean,Interpret a confidence interval correctly,正確詮釋置信區間,F6,,m1.ci.mean-known,M1-20.1
#
# ======================= EXTENDED PART MODULE 2 (Algebra and Calculus) ==========
# strand m2. Same convention as m1: foundation blank.
# --- Foundation knowledge ----------------------------------------------------------
m2.induction.sum,m2,Mathematical induction,Prove a summation formula by induction,以數學歸納法證明求和公式,F4,,na.seq.as-sum,M2-2.1
m2.induction.divisibility,m2,Mathematical induction,Prove a divisibility result by induction,以數學歸納法證明整除性,F4,,m2.induction.sum,M2-2.1
m2.induction.inequality,m2,Mathematical induction,Prove an inequality by induction,以數學歸納法證明不等式,F4,,m2.induction.sum,ext
m2.induction.recurrence,m2,Mathematical induction,Prove a property of a recurrence-defined sequence,證明遞歸數列的性質,F4,,m2.induction.sum;na.seq.recurrence,M2-2.1
m2.binomial.theorem,m2,The binomial theorem,Binomial theorem for a positive integral index,正整數指數的二項式定理,F4,,na.identity.expand,M2-3.1
m2.binomial.term,m2,The binomial theorem,Find a particular term or coefficient,求指定項或係數,F4,,m2.binomial.theorem,M2-3.1
m2.func.odd-even,m2,Odd and even functions,Recognise odd and even functions and their graphs,認識奇函數與偶函數及其圖像,F4,,na.func.concept,M2-1.1
m2.trig.compound,m2,More about trigonometric functions,Compound angle formulae,複角公式,F4,,ms.trig.identity-prove,M2-4.3
m2.trig.radian,m2,More about trigonometric functions,Radian measure and conversion with degrees,弧度制及與度的換算,F4,,ms.mensur.arc-sector,M2-4.1
m2.trig.reciprocal,m2,More about trigonometric functions,"Cosecant, secant and cotangent and the identities 1 + tan²θ = sec²θ, 1 + cot²θ = csc²θ",餘割、正割、餘切及其恒等式,F4,,ms.trig.identities-basic,M2-4.2
m2.trig.double,m2,More about trigonometric functions,Double angle and half angle formulae,倍角與半角公式,F4,,m2.trig.compound,M2-4.3
m2.trig.subsidiary,m2,Trigonometry,Write a sin θ + b cos θ as R sin(θ + α),化 a sinθ + b cosθ 為 R sin(θ+α),F4,,m2.trig.compound,ext
m2.trig.product-sum,m2,More about trigonometric functions,Product-to-sum and sum-to-product formulae,積化和差與和差化積,F4,,m2.trig.compound,M2-4.3
m2.trig.identity,m2,More about trigonometric functions,Prove an identity with the compound angle formulae,以複角公式證明恆等式,F4,,m2.trig.double,M2-4.2;M2-4.3
m2.trig.equation,m2,More about trigonometric functions,Solve an equation using the compound angle formulae,以複角公式解三角方程,F4,,m2.trig.double;ms.trig.equation,M2-4.3
m2.trig.extremum,m2,Trigonometry,Maximum and minimum of a sin θ + b cos θ,a sinθ + b cosθ 的最值,F4,,m2.trig.subsidiary,ext
m2.explog.e,m2,Introduction to e,e as a limit and the natural logarithm,e 的極限定義與自然對數,F4,,na.log.laws,M2-5.1
# --- Limits and differentiation -----------------------------------------------------
m2.limit.concept,m2,Limits,Idea of a limit and one-sided limits,極限概念與單側極限,F5,,,M2-6.1
m2.limit.algebraic,m2,Limits,Evaluate an algebraic limit,求代數極限,F5,,m2.limit.concept,M2-6.2
m2.limit.trig,m2,Limits,Use lim (sin x)/x = 1,運用 lim (sinx)/x = 1,F5,,m2.limit.algebraic,M2-6.2
m2.limit.exponential,m2,Limits,Use lim (eˣ − 1)/x = 1,運用 lim (eˣ−1)/x = 1,F5,,m2.limit.algebraic;m2.explog.e,M2-6.2
m2.diff.first-principles,m2,Differentiation,Differentiate from first principles,由基本原理求導數,F5,,m2.limit.algebraic,M2-7.1
m2.diff.power-rule,m2,Differentiation,Differentiate xⁿ for a rational n,有理指數冪函數的導數,F5,,m2.diff.first-principles,M2-7.3
m2.diff.sum-multiple,m2,Differentiation,Differentiate a sum and a constant multiple,和與常數倍的導數,F5,,m2.diff.power-rule,M2-7.2
m2.diff.product-rule,m2,Differentiation,Product rule,乘積法則,F5,,m2.diff.sum-multiple,M2-7.2
m2.diff.quotient-rule,m2,Differentiation,Quotient rule,商法則,F5,,m2.diff.sum-multiple,M2-7.2
m2.diff.chain-rule,m2,Differentiation,Chain rule,鏈式法則,F5,,m2.diff.sum-multiple,M2-7.2
m2.diff.trigonometric,m2,Differentiation,Differentiate sin x and cos x and tan x,三角函數的導數,F5,,m2.diff.chain-rule;m2.limit.trig,M2-7.3
m2.diff.exponential,m2,Differentiation,Differentiate eˣ and aˣ,指數函數的導數,F5,,m2.diff.chain-rule;m2.limit.exponential,M2-7.3
m2.diff.logarithmic,m2,Differentiation,Differentiate ln x and logₐ x,對數函數的導數,F5,,m2.diff.chain-rule;m2.explog.e,M2-7.3
m2.diff.implicit,m2,Differentiation,Implicit differentiation,隱函數求導,F5,,m2.diff.chain-rule,M2-7.4
m2.diff.log-technique,m2,Differentiation,Logarithmic differentiation,對數求導法,F5,,m2.diff.logarithmic;m2.diff.implicit,M2-7.4
m2.diff.combined,m2,Differentiation,Differentiate a function needing several rules,需用多條法則的求導,F5,,m2.diff.product-rule;m2.diff.quotient-rule;m2.diff.chain-rule,M2-7.2;M2-7.3
m2.diff.second,m2,Differentiation,Second and higher derivatives,二階及更高階導數,F5,,m2.diff.combined,M2-7.5
m2.apply.tangent-normal,m2,Applications of differentiation,Tangent and normal to a curve,曲線的切線與法線,F5,,m2.diff.combined;ms.line.parallel-perp-equation,M2-8.1
m2.apply.rate,m2,Applications of differentiation,Rate of change and related rates,變率與相關變率,F5,,m2.diff.chain-rule,M2-8.4
m2.apply.monotonicity,m2,Applications of differentiation,Increasing and decreasing intervals,單調區間,F5,,m2.diff.combined,M2-8.2
m2.apply.extrema,m2,Applications of differentiation,Local and global extrema,局部與整體極值,F5,,m2.apply.monotonicity;m2.diff.second,M2-8.2
m2.apply.concavity,m2,Applications of differentiation,Concavity and points of inflexion,凹凸性與拐點,F5,,m2.diff.second,M2-8.3;M2-7.5
m2.apply.asymptote,m2,Applications of differentiation,Vertical and horizontal and oblique asymptotes,鉛垂、水平及斜漸近線,F5,,m2.limit.algebraic,M2-8.3
m2.apply.curve-sketch,m2,Applications of differentiation,Sketch a curve from its derivatives and asymptotes,綜合描繪曲線,F5,,m2.apply.concavity;m2.apply.asymptote,M2-8.3
m2.apply.optimisation,m2,Applications of differentiation,Optimise a quantity in a real-life problem,最優化應用題,F5,,m2.apply.extrema,M2-8.4
# --- Integration --------------------------------------------------------------------
m2.int.basic,m2,Indefinite integration and its applications,Integrate power and constant functions,冪函數與常數的積分,F6,,m2.diff.power-rule,M2-9.1;M2-9.2
m2.int.trigonometric,m2,Indefinite integration and its applications,Integrate sin x and cos x and sec²x,三角函數的積分,F6,,m2.int.basic;m2.diff.trigonometric,M2-9.2
m2.int.exponential,m2,Indefinite integration and its applications,Integrate eˣ and 1/x,指數與 1/x 的積分,F6,,m2.int.basic;m2.diff.exponential,M2-9.2
m2.int.substitution,m2,Indefinite integration and its applications,Integrate by substitution,換元積分法,F6,,m2.int.basic;m2.diff.chain-rule,M2-9.4;M2-9.5
m2.int.trig-identity,m2,Indefinite integration and its applications,Integrate using a trigonometric identity first,先用三角恆等式再積分,F6,,m2.int.trigonometric;m2.trig.double,M2-9.2
m2.int.by-parts,m2,Indefinite integration and its applications,Integrate by parts,分部積分法,F6,,m2.int.substitution;m2.diff.product-rule,M2-9.6
m2.int.by-parts-repeat,m2,Indefinite integration and its applications,Integrate by parts more than once or in a loop,重複或循環使用分部積分,F6,,m2.int.by-parts,M2-9.6
m2.int.constant,m2,Indefinite integration and its applications,Find the constant of integration from a condition,由條件求積分常數,F6,,m2.int.basic,M2-9.3
m2.def.evaluate,m2,Definite integration,Fundamental theorem of calculus and evaluation,微積分基本定理與計算,F6,,m2.int.basic,M2-10.1;M2-10.3
m2.def.properties,m2,Definite integration,Properties of definite integrals including even and odd functions,定積分性質(含奇偶函數),F6,,m2.def.evaluate,M2-10.2
m2.def.substitution,m2,Definite integration,Substitution with changed limits,換元並更改上下限,F6,,m2.def.evaluate;m2.int.substitution,M2-10.4
m2.def.by-parts,m2,Definite integration,Definite integration by parts,定積分的分部積分,F6,,m2.def.evaluate;m2.int.by-parts,M2-10.5
m2.def.area,m2,Applications of definite integration,Area under and between curves,曲線下及兩曲線間的面積,F6,,m2.def.evaluate,M2-11.1
m2.def.volume-disc,m2,Applications of definite integration,Volume of revolution by the disc method,圓盤法求旋轉體體積,F6,,m2.def.area,M2-11.2
m2.def.volume-shell,m2,Definite integration,Volume of revolution by the shell method,薄殼法求旋轉體體積,F6,,m2.def.volume-disc,ext
m2.def.choose-method,m2,Definite integration,Choose the disc or the shell method for a region,選擇圓盤法或薄殼法,F6,,m2.def.volume-shell,ext
# --- Matrices and systems of equations ------------------------------------------------
m2.matrix.operations,m2,Matrices,Addition and subtraction and scalar multiplication,矩陣加減與純量乘法,F5,,,M2-13.1
m2.matrix.multiply,m2,Matrices,Matrix multiplication,矩陣乘法,F5,,m2.matrix.operations,M2-13.1
m2.matrix.properties,m2,Matrices,Non-commutativity and other properties of multiplication,矩陣乘法的性質,F5,,m2.matrix.multiply,M2-13.1
m2.matrix.identity,m2,Matrices,Identity and zero matrices,單位矩陣與零矩陣,F5,,m2.matrix.multiply,M2-13.1
m2.matrix.transpose,m2,Matrices,Transpose and its properties,轉置矩陣及其性質,F5,,m2.matrix.multiply,M2-13.1
m2.matrix.determinant-2,m2,Determinants,Determinant of a 2 x 2 matrix,二階行列式,F5,,m2.matrix.multiply,M2-12.1
m2.matrix.determinant-3,m2,Determinants,Determinant of a 3 x 3 matrix,三階行列式,F5,,m2.matrix.determinant-2,M2-12.1
m2.matrix.inverse-2,m2,Matrices,Inverse of a 2 x 2 matrix,二階逆矩陣,F5,,m2.matrix.determinant-2,M2-13.2
m2.matrix.inverse-3,m2,Matrices,Inverse of a 3 x 3 matrix,三階逆矩陣,F5,,m2.matrix.determinant-3,M2-13.2
m2.matrix.inverse-properties,m2,Matrices,Properties of inverses including (AB)⁻¹,逆矩陣的性質,F5,,m2.matrix.inverse-2,M2-13.2
m2.matrix.equation,m2,Matrices,Solve a matrix equation for an unknown matrix,解矩陣方程,F5,,m2.matrix.inverse-2,M2-13.2
m2.matrix.power,m2,Matrices,Find Aⁿ by induction or by a pattern,求 Aⁿ,F5,,m2.matrix.multiply;m2.induction.sum,M2-13.1;M2-2.1
m2.linsys.condition,m2,Systems of linear equations,Condition for a unique solution via the determinant,由行列式判斷唯一解,F6,,m2.matrix.determinant-3,M2-14.1
m2.linsys.inverse,m2,Systems of linear equations,Solve by the inverse matrix,以逆矩陣解方程組,F6,,m2.matrix.inverse-3,M2-14.1
