# Learning Objectives of the EDB Mathematics C&A Guide (S4-6, 2017): Compulsory Part
# (CP), Module 1 (M1), Module 2 (M2), and of the Supplement on the learning content
# of junior secondary Mathematics (2017; KS3). Extracted from docs/CA_2017_e.pdf and
# docs/jsmc2017_e.pdf by scripts/extract_guide_objectives.py; formulas the PDFs draw
# as images are missing from text and remarks. obj = objective number (a Further
# Learning Unit has one unnumbered objective, given its unit number); nf = blank for
# a Foundation Topic, N = Non-foundation (underlined in the Guide), E = Enrichment
# (** in the KS3 Supplement); time = suggested hours for the unit; page = PDF page.
part,strand,unit_no,unit,obj,nf,time,text,remarks,page
KS3,"Measures, Shape and Space Strand",26,Rectangular coordinate system,26.8,,,"recognise the relation between the slopes of parallel lines and the relation between the slopes of perpendicular lines,and solve related problems",Students are required to identify parallel lines and perpendicular lines from their slopes. The relation between slope and inclination in the rectangular coordinate plane is dealt with in the Compulsory Part atKey Stage 4.,38
KS3,"Measures, Shape and Space Strand",26,Rectangular coordinate system,26.9,,,use coordinate geometry to perform simple geometric proofs,,38
KS3,"Measures, Shape and Space Strand",26,Rectangular coordinate system,26.10,E,,explore the formula for the external point of division,,39
KS3,"Measures, Shape and Space Strand",27,Trigonometry,27.1,,18,"understand sine, cosine and tangent of angles between 0and 90",The trigonometric ratios of 0 and 90 are not required.,39
KS3,"Measures, Shape and Space Strand",27,Trigonometry,27.2,,,understand the properties of trigonometric ratios,"The properties include: For ,  as  increases, the values of and increase and that of decreases        ",39
KS3,"Measures, Shape and Space Strand",27,Trigonometry,27.3,,,"understand the exact values of trigonometric ratios of 30, 45and 60",,40
KS3,"Measures, Shape and Space Strand",27,Trigonometry,27.4,,,solve problems related to plane figures,,40
KS3,"Measures, Shape and Space Strand",27,Trigonometry,27.5,,,"solve problems involving gradients, angles of elevation, anglesof depression and bearings",Students are required to recognise the relation between gradients and inclinations. Students are required to recognise two kinds of bearingsuch as 010and N10E.,40
KS3,Data Handling Strand,28,Organisation of data,28.1,,4,recognise the concepts of discrete data and continuous data,,41
KS3,Data Handling Strand,28,Organisation of data,28.2,,,recognise organisation of data without grouping,,41
KS3,Data Handling Strand,28,Organisation of data,28.3,,,recognise organisation of data in groups,Note:Students are required to recognise the organisation of data using frequency distribution tables.,41
KS3,Data Handling Strand,29,Presentation of data,29.1,,17,recognise stem-and-leaf diagrams and histograms,"Students are required to construct simple stem-and-leaf diagrams and histograms using paper and pen. When constructing stem-and-leaf diagrams and histograms of a larger amount of data, students may use information technology. Students are required to recognise the construction of statistical charts in appropriate scales.",41
KS3,Data Handling Strand,29,Presentation of data,29.2,,,interpret stem-and-leaf diagrams and histograms,,42
KS3,Data Handling Strand,29,Presentation of data,29.3,,,interpret statistical charts representing two different sets of data in daily life,Example: Temperature and rainfall charts,42
KS3,Data Handling Strand,29,Presentation of data,29.4,,,"recognise frequency polygons, frequency curves, cumulative frequency polygons and cumulative frequency curves",Construction of statistical charts is required.,42
KS3,Data Handling Strand,29,Presentation of data,29.5,,,"interpret frequency polygons, frequency curves, cumulative frequency polygons and cumulative frequency curves","Students are required tofind the following from cumulative frequency polygons and cumulative frequency curves:  medians, quartiles (upper quartile s, lower quartiles) and percentiles  the positions of individual data in the populations",42
KS3,Data Handling Strand,29,Presentation of data,29.6,,,choose appropriate statistical charts to present data,"Statistical charts include stem -and-leaf diagrams and histograms, and those that are dealt with at Key Stage 2, including bar charts, pie charts and broken line graphs.",43
KS3,Data Handling Strand,29,Presentation of data,29.7,,,recognise the uses and abuses of statistical charts in daily life,Teachers may consider using real -life examples or related learning elements in Science Education or Technology Education KLAs to enhance learning and teaching.,43
KS3,Data Handling Strand,30,Measures of central tendency,30.1,,10,"understand the concepts of mean, median and mode/modal class","Students are required to understand the features and limitations of each measure, for example, a single extreme datum may have a great influence on the mean, and the median is not affected by a singleextreme datum. Mean can also be called “average”. At Key Stage 2, students are required to recognise the concept of average.",43
KS3,Data Handling Strand,30,Measures of central tendency,30.2,,,"calculate mean, median and mode of ungrouped data",,44
KS3,Data Handling Strand,30,Measures of central tendency,30.3,,,"calculate mean, median and modal class of grouped data",Students are required to understand that mean and median of grouped data are estimations only.,44
KS3,Data Handling Strand,30,Measures of central tendency,30.4,,,"recognise the uses and abuses of mean, median and mode/modal class in daily life",,44
KS3,Data Handling Strand,30,Measures of central tendency,30.5,N,,"understand the effects of the followingoperations on the mean, median, and mode: (i) adding a common constant to each item of the set of data (ii)multiplying each item of the set of databy a common constant",,44
KS3,Data Handling Strand,30,Measures of central tendency,30.6,,,recognise the concept of weighted mean,"Real-life applications are required, for example: the methods for calculating average scores for report cards and scores for university admissions.",45
KS3,Data Handling Strand,30,Measures of central tendency,30.7,,,solve problems involving weighted mean,,45
KS3,Data Handling Strand,31,Probability,31.1,,12,"recognise the concepts of certain event s, impossible eventsand random events",,45
KS3,Data Handling Strand,31,Probability,31.2,,,recognisethe concept of probability,Geometric probability is not required. Students may use diagrams such as Venn diagrams to understand the concept of sample space.,45
KS3,Data Handling Strand,31,Probability,31.3,,,calculate probabilities of events by listing the sample space and counting,Students are required to use tablesor tree diagramsto list sample spaces.,45
KS3,Data Handling Strand,31,Probability,31.4,,,solve problems involving probability,,45
KS3,Data Handling Strand,31,Probability,31.5,N,,recognise the concept of expectation,,46
KS3,Data Handling Strand,31,Probability,31.6,N,,solve problems involving expectation,,46
KS3,Further Learning Unit,32,Inquiry and investigation,32,,20,"Through various learning activities, discover and construct knowledge, further improve the ability to inquire, communicate, reason and conceptualise mathematical concepts","This is not an independent and isolated learning unit. The time is allocated for students to engage in learning activities from different learning units, f or example, activities on enrichment topics, cross- learning unit activities, and cross-KLA activities that based on mathematical topics.",46
